Title,Authors,FirstAuthor,FirstAuthorAffiliation,LastAuthor,LastAuthorAffiliation,LastAuthorEmail,LastAuthorHindex,Abstract,Journal,PublicationDate,Grant
Prochlorperazine Superior to Hydromorphone for Migraine.,"['Slomski, Anita']","Slomski, Anita",Columbia University School of Nursing,"Slomski, Anita",Columbia University School of Nursing,,3,,JAMA,2017 Dec 26,
Gamification Shows Promise in Motivating Physical Activity.,"['Slomski, Anita']","Slomski, Anita",Columbia University School of Nursing,"Slomski, Anita",Columbia University School of Nursing,,3,,JAMA,2017 Dec 26,
Recumbent Delivery With Epidural and Spontaneous Vaginal Births.,"['Slomski, Anita']","Slomski, Anita",Columbia University School of Nursing,"Slomski, Anita",Columbia University School of Nursing,,3,,JAMA,2017 Dec 26,
Stenting Does Not Relieve Stable Angina Symptoms.,"['Slomski, Anita']","Slomski, Anita",Columbia University School of Nursing,"Slomski, Anita",Columbia University School of Nursing,,3,,JAMA,2017 Dec 26,
Guselkumab (Tremfya) for Psoriasis.,,,,,,,,,JAMA,2017 Dec 26,
Intensive Lifestyle Intervention for Type 2 Diabetes-Reply.,"['Ried-Larsen, Mathias', 'Johansen, Mette Yun', 'Pedersen, Bente Klarlund']","Ried-Larsen, Mathias",Kobenhavns Universitet,"Pedersen, Bente Klarlund",Rigshospitalet,,107,,JAMA,2017 Dec 26,
Azithromycin and Survival After Hematopoietic Stem Cell Transplant-Reply.,"['Bergeron, Anne', 'Bondeelle, Louise', 'Chevret, Sylvie']","Bergeron, Anne",Hopital Saint-Louis,"Chevret, Sylvie",Universite Paris 7- Denis Diderot,,100,,JAMA,2017 Dec 26,
Evidence Required for Drugs Granted Accelerated Approval-Reply.,"['Naci, Huseyin', 'Kesselheim, Aaron S']","Naci, Huseyin",London School of Economics and Political Science,"Kesselheim, Aaron S",Brigham and Women's Hospital,,37,,JAMA,2017 Dec 26,
Spiritual Care in Medicine-Reply.,"['VanderWeele, Tyler J', 'Balboni, Tracy A', 'Koh, Howard K']","VanderWeele, Tyler J",Harvard School of Public Health,"Koh, Howard K",Harvard School of Public Health,,47,,JAMA,2017 Dec 26,
Intensive Lifestyle Intervention for Type 2 Diabetes.,"['Giugliano, Dario', 'Maiorino, Maria Ida', 'Esposito, Katherine']","Giugliano, Dario",Università degli Studi della Campania Luigi Vanvitelli,"Esposito, Katherine",Università degli Studi della Campania Luigi Vanvitelli,,64,,JAMA,2017 Dec 26,
Azithromycin and Survival After Hematopoietic Stem Cell Transplant.,"['Fuji, Shigeo']","Fuji, Shigeo",National Cancer Center Hospital,"Fuji, Shigeo",National Cancer Center Hospital,,13,,JAMA,2017 Dec 26,
Evidence Required for Drugs Granted Accelerated Approval.,"['Tanimoto, Tetsuya', 'Kosugi, Kazuhiro', 'Tsuda, Kenji']","Tanimoto, Tetsuya",Navitas Clinic,"Tsuda, Kenji",Tohoku University,,21,,JAMA,2017 Dec 26,
Spiritual Care in Medicine.,"['Liao, Lester']","Liao, Lester",University of Alberta,"Liao, Lester",University of Alberta,,1,,JAMA,2017 Dec 26,
Trends in Self-reported and Biochemically Tested Marijuana Use Among Pregnant Females in California From 2009-2016.,"['Young-Wolff, Kelly C', 'Tucker, Lue-Yen', 'Alexeeff, Stacey', 'Armstrong, Mary Anne', 'Conway, Amy', 'Weisner, Constance', 'Goler, Nancy']","Young-Wolff, Kelly C",Kaiser Permanente Division of Research,"Goler, Nancy",Kaiser Permanente,,4,,JAMA,2017 Dec 26,['K01 DA043604/DA/NIDA NIH HHS/United States']
Charcot's Opinion and Criticism of German Medicine.,,,,,,,,,JAMA,2017 Dec 26,
CMS Vows to Overhaul Medicaid.,"['Kuehn, Bridget']","Kuehn, Bridget",,"Kuehn, Bridget",,,24,,JAMA,2017 Dec 26,
Crowdsourcing Pregnancy Data.,"['Kuehn, Bridget']","Kuehn, Bridget",,"Kuehn, Bridget",,,24,,JAMA,2017 Dec 26,
NIH Strategy to Combat Opioid Crisis.,"['Kuehn, Bridget']","Kuehn, Bridget",,"Kuehn, Bridget",,,24,,JAMA,2017 Dec 26,
Opioid Emergency Declared.,"['Kuehn, Bridget']","Kuehn, Bridget",,"Kuehn, Bridget",,,24,,JAMA,2017 Dec 26,
Sports-Related Eye Injuries.,"['Pieramici, Dante J']","Pieramici, Dante J",California Retina Consultants,"Pieramici, Dante J",California Retina Consultants,,30,,JAMA,2017 Dec 26,
Authorship and Team Science.,"['Fontanarosa, Phil', 'Bauchner, Howard', 'Flanagin, Annette']","Fontanarosa, Phil",Journal of American Medical Association,"Flanagin, Annette",Journal of American Medical Association,,20,,JAMA,2017 Dec 26,
Low-Level Air Pollution Associated With Death: Policy and Clinical Implications.,"['Zhang, Junfeng']","Zhang, Junfeng",Nanjing University,"Zhang, Junfeng",Nanjing University,,44,,JAMA,2017 Dec 26,
Error in Figure Title.,,,,,,,,,JAMA,2017 Dec 26,
Movie Review of The Immortal Life of Henrietta Lacks.,"['Disis, Mary L Nora']","Disis, Mary L Nora","University of Washington, Seattle","Disis, Mary L Nora","University of Washington, Seattle",,53,,JAMA,2017 Dec 26,
Preexisting Antibody Titer Associated With Severe Dengue.,"['Friedrich, M J']","Friedrich, M J",,"Friedrich, M J",,,13,,JAMA,2017 Dec 19,
Latest Report on Health Effects of Climate Change.,"['Friedrich, M J']","Friedrich, M J",,"Friedrich, M J",,,13,,JAMA,2017 Dec 19,
Tuberculosis Update 2017.,"['Friedrich, M J']","Friedrich, M J",,"Friedrich, M J",,,13,,JAMA,2017 Dec 19,
Guidelines for the Content of Statistical Analysis Plans in Clinical Trials.,"['Gamble, Carrol', 'Krishan, Ashma', 'Stocken, Deborah', 'Lewis, Steff', 'Juszczak, Edmund', 'Dore, Caroline', 'Williamson, Paula R', 'Altman, Douglas G', 'Montgomery, Alan', 'Lim, Pilar', 'Berlin, Jesse', 'Senn, Stephen', 'Day, Simon', 'Barbachano, Yolanda', 'Loder, Elizabeth']","Gamble, Carrol",University of Liverpool,"Loder, Elizabeth",Massachusetts General Hospital,,33,"Importance: While guidance on statistical principles for clinical trials exists, there is an absence of guidance covering the required content of statistical analysis plans (SAPs) to support transparency and reproducibility. Objective: To develop recommendations for a minimum set of items that should be addressed in SAPs for clinical trials, developed with input from statisticians, previous guideline authors, journal editors, regulators, and funders. Design: Funders and regulators (n = 39) of randomized trials were contacted and the literature was searched to identify existing guidance; a survey of current practice was conducted across the network of UK Clinical Research Collaboration-registered trial units (n = 46, 1 unit had 2 responders) and a Delphi survey (n = 73 invited participants) was conducted to establish consensus on SAPs. The Delphi survey was sent to statisticians in trial units who completed the survey of current practice (n = 46), CONSORT (Consolidated Standards of Reporting Trials) and SPIRIT (Standard Protocol Items: Recommendations for Interventional Trials) guideline authors (n = 16), pharmaceutical industry statisticians (n = 3), journal editors (n = 9), and regulators (n = 2) (3 participants were included in 2 groups each), culminating in a consensus meeting attended by experts (N = 12) with representatives from each group. The guidance subsequently underwent critical review by statisticians from the surveyed trial units and members of the expert panel of the consensus meeting (N = 51), followed by piloting of the guidance document in the SAPs of 5 trials. Findings: No existing guidance was identified. The registered trials unit survey (46 responses) highlighted diversity in current practice and confirmed support for developing guidance. The Delphi survey (54 of 73, 74% participants completing both rounds) reached consensus on 42% (n = 46) of 110 items. The expert panel (N = 12) agreed that 63 items should be included in the guidance, with an additional 17 items identified as important but may be referenced elsewhere. Following critical review and piloting, some overlapping items were combined, leaving 55 items. Conclusions and Relevance: Recommendations are provided for a minimum set of items that should be addressed and included in SAPs for clinical trials. Trial registration, protocols, and statistical analysis plans are critically important in ensuring appropriate reporting of clinical trials.",JAMA,2017 Dec 19,"['MR/K025635/1/Medical Research Council/United Kingdom', 'MR/L004933/1/Medical Research Council/United Kingdom']"
"Walking the Shoreline: Erosion, Regrowth, and Professional Formation.","['Kirkland, Kathryn B']","Kirkland, Kathryn B",Dartmouth-Hitchcock Medical Center,"Kirkland, Kathryn B",Dartmouth-Hitchcock Medical Center,,25,,JAMA,2017 Dec 19,
Effect of Cervical Pessary on Spontaneous Preterm Birth in Women With Singleton Pregnancies and Short Cervical Length: A Randomized Clinical Trial.,"['Saccone, Gabriele', 'Maruotti, Giuseppe Maria', 'Giudicepietro, Antonia', 'Martinelli, Pasquale']","Saccone, Gabriele",Universita degli Studi di Napoli Federico II,"Martinelli, Pasquale",Universita degli Studi di Napoli Federico II,,29,"Importance: Spontaneous preterm birth is a major cause of perinatal morbidity and mortality. It is unclear if a cervical pessary can reduce the risk of spontaneous preterm delivery. Objective: To test whether in asymptomatic women with singleton pregnancies and no prior spontaneous preterm birth but with short cervical length on transvaginal ultrasound, use of a cervical pessary would reduce the rate of spontaneous preterm birth at less than 34 weeks of gestation. Design, Setting, and Participants: Parallel-group, nonblinded, randomized clinical trial conducted from March 1, 2016, to May 25, 2017, at a single center in Italy. Asymptomatic women with singleton gestations, no previous spontaneous preterm births, and cervical lengths of 25 mm or less at 18 weeks 0 days to 23 weeks 6 days of gestation were eligible. Interventions: Patients were randomized 1:1 to receive either cervical pessary (n = 150) or no pessary (n = 150). The pessary was removed between 37 weeks 0 days and 37 weeks 6 days of gestation or earlier if clinically indicated. The control group received standard care. For cervical length of 20 mm or shorter, women in both groups were prescribed vaginal progesterone, 200 mg/d, until 36 weeks 6 days of gestation. No bed rest or activity restriction was recommended. Main Outcomes and Measures: The primary end point was spontaneous preterm birth at less than 34 weeks of gestation. Secondary outcomes were adverse events. Results: Among 300 women who were randomized (mean age, 29 [SD, 6.3] years; mean gestational age, 22 [SD, 1.3] weeks), 100% completed the trial. The primary end point occurred in 11 women (7.3%) in the pessary group and 23 women (15.3%) in the control group (between-group difference, -8.0% [95% CI, -15.7% to -0.4]; relative risk, 0.48 [95% CI, 0.24-0.95]). During follow-up, the pessary group had a higher rate of increased or new vaginal discharge (86.7% vs 46.0%; between-group difference, +40.7% [95% CI, +30.1%-+50.3%]; relative risk, 1.88 [95% CI, 1.57-2.27]). Conclusions and Relevance: Among women without prior spontaneous preterm birth who had asymptomatic singleton pregnancies and short transvaginal cervical length, use of a cervical pessary, compared with no pessary use, resulted in a lower rate of spontaneous preterm birth at less than 34 weeks of gestation. The results of this single-center, nonblinded study among selected pregnant women require confirmation in multicenter clinical trials. Trial Registration: clinicaltrials.gov Identifier: NCT02716909.",JAMA,2017 Dec 19,
Effect of Tumor-Treating Fields Plus Maintenance Temozolomide vs Maintenance Temozolomide Alone on Survival in Patients With Glioblastoma: A Randomized Clinical Trial.,"['Stupp, Roger', 'Taillibert, Sophie', 'Kanner, Andrew', 'Read, William', 'Steinberg, David', 'Lhermitte, Benoit', 'Toms, Steven', 'Idbaih, Ahmed', 'Ahluwalia, Manmeet S.', 'Fink, Karen', 'Di Meco, Francesco', 'Lieberman, Frank', 'Zhu, Jay-Jiguang', 'Stragliotto, Giuseppe', 'Tran, David', 'Brem, Steven', 'Hottinger, Andreas', 'Kirson, Eilon D.', 'Lavy-Shahaf, Gitit', 'Weinberg, Uri', 'Kim, Chae-Yong', 'Paek, Sun-Ha', 'Nicholas, Garth', 'Bruna, Jordi', 'Hirte, Hal', 'Weller, Michael', 'Palti, Yoram', 'Hegi, Monika E.', 'Ram, Zvi']","Stupp, Roger",UniversitatsSpital Zurich,"Ram, Zvi","Tel Aviv University, Sackler Faculty of Medicine",,46,"Importance: Tumor-treating fields (TTFields) is an antimitotic treatment modality that interferes with glioblastoma cell division and organelle assembly by delivering low-intensity alternating electric fields to the tumor. Objective: To investigate whether TTFields improves progression-free and overall survival of patients with glioblastoma, a fatal disease that commonly recurs at the initial tumor site or in the central nervous system. Design, Setting, and Participants: In this randomized, open-label trial, 695 patients with glioblastoma whose tumor was resected or biopsied and had completed concomitant radiochemotherapy (median time from diagnosis to randomization, 3.8 months) were enrolled at 83 centers (July 2009-2014) and followed up through December 2016. A preliminary report from this trial was published in 2015; this report describes the final analysis. Interventions: Patients were randomized 2:1 to TTFields plus maintenance temozolomide chemotherapy (n = 466) or temozolomide alone (n = 229). The TTFields, consisting of low-intensity, 200 kHz frequency, alternating electric fields, was delivered (>/= 18 hours/d) via 4 transducer arrays on the shaved scalp and connected to a portable device. Temozolomide was administered to both groups (150-200 mg/m2) for 5 days per 28-day cycle (6-12 cycles). Main Outcomes and Measures: Progression-free survival (tested at alpha = .046). The secondary end point was overall survival (tested hierarchically at alpha = .048). Analyses were performed for the intent-to-treat population. Adverse events were compared by group. Results: Of the 695 randomized patients (median age, 56 years; IQR, 48-63; 473 men [68%]), 637 (92%) completed the trial. Median progression-free survival from randomization was 6.7 months in the TTFields-temozolomide group and 4.0 months in the temozolomide-alone group (HR, 0.63; 95% CI, 0.52-0.76; P < .001). Median overall survival was 20.9 months in the TTFields-temozolomide group vs 16.0 months in the temozolomide-alone group (HR, 0.63; 95% CI, 0.53-0.76; P < .001). Systemic adverse event frequency was 48% in the TTFields-temozolomide group and 44% in the temozolomide-alone group. Mild to moderate skin toxicity underneath the transducer arrays occurred in 52% of patients who received TTFields-temozolomide vs no patients who received temozolomide alone. Conclusions and Relevance: In the final analysis of this randomized clinical trial of patients with glioblastoma who had received standard radiochemotherapy, the addition of TTFields to maintenance temozolomide chemotherapy vs maintenance temozolomide alone, resulted in statistically significant improvement in progression-free survival and overall survival. These results are consistent with the previous interim analysis. Trial Registration: clinicaltrials.gov Identifier: NCT00916409.",JAMA,2017 Dec 19,
